ID,Filter_type,Status
1,F1,Healthy
2,F1,Healthy
3,F1,Healthy
4,F1,Healthy
5,F1,Infected
6,F1,Healthy
7,F1,Healthy
8,F1,Infected
9,F1,Healthy
10,F1,Healthy
11,F1,Infected
12,F1,Infected
13,F1,Healthy
14,F1,Healthy
15,F1,Healthy
16,F1,Infected
17,F1,Infected
18,F1,Healthy
19,F1,Infected
20,F1,Infected
21,F1,Healthy
22,F1,Infected
23,F1,Infected
24,F1,Healthy
25,F1,Infected
26,F1,Infected
27,F1,Healthy
28,F1,Healthy
29,F1,Infected
30,F1,Healthy
31,F1,Infected
32,F1,Healthy
33,F1,Infected
34,F1,Infected
35,F1,Infected
36,F1,Infected
37,F1,Healthy
38,F1,Infected
39,F1,Infected
40,F1,Healthy
41,F1,Infected
42,F1,Healthy
43,F1,Infected
44,F1,Infected
45,F1,Infected
46,F1,Infected
47,F1,Infected
48,F1,Healthy
49,F1,Infected
50,F1,Infected
51,F1,Healthy
52,F1,Infected
53,F1,Infected
54,F1,Healthy
55,F1,Healthy
56,F1,Infected
57,F1,Infected
58,F1,Healthy
59,F1,Healthy
60,F1,Healthy
61,F1,Healthy
62,F1,Infected
63,F1,Healthy
64,F1,Healthy
65,F1,Healthy
66,F1,Healthy
67,F1,Infected
68,F1,Healthy
69,F1,Infected
70,F1,Infected
71,F1,Infected
72,F1,Infected
73,F1,Infected
74,F1,Healthy
75,F1,Infected
76,F1,Healthy
77,F1,Healthy
78,F1,Infected
79,F1,Infected
80,F1,Healthy
81,F1,Healthy
82,F1,Infected
83,F1,Infected
84,F1,Healthy
85,F1,Healthy
86,F1,Infected
87,F1,Healthy
88,F1,Healthy
89,F1,Healthy
90,F1,Healthy
91,F1,Healthy
92,F1,Healthy
93,F1,Healthy
94,F1,Healthy
95,F1,Infected
96,F1,Infected
97,F1,Healthy
98,F1,Healthy
99,F1,Healthy
100,F1,Healthy
101,F1,Healthy
102,F1,Healthy
103,F1,Infected
104,F1,Infected
105,F1,Infected
106,F1,Infected
107,F1,Healthy
108,F1,Infected
109,F1,Healthy
110,F1,Infected
111,F1,Healthy
112,F1,Healthy
113,F1,Healthy
114,F1,Infected
115,F1,Infected
116,F1,Healthy
117,F1,Infected
118,F1,Infected
119,F1,Healthy
120,F1,Healthy
121,F1,Healthy
122,F1,Infected
123,F1,Infected
124,F1,Healthy
125,F1,Infected
126,F1,Healthy
127,F1,Healthy
128,F1,Infected
129,F1,Infected
130,F1,Healthy
131,F1,Healthy
132,F1,Healthy
133,F1,Infected
134,F1,Healthy
135,F1,Infected
136,F1,Healthy
137,F1,Infected
138,F1,Healthy
139,F1,Healthy
140,F1,Healthy
141,F1,Healthy
142,F1,Healthy
143,F1,Infected
144,F1,Healthy
145,F1,Infected
146,F1,Healthy
147,F1,Healthy
148,F1,Infected
149,F1,Healthy
150,F1,Infected
151,F1,Healthy
152,F1,Infected
153,F1,Infected
154,F1,Healthy
155,F1,Healthy
156,F1,Healthy
157,F1,Infected
158,F1,Infected
159,F1,Infected
160,F1,Healthy
161,F1,Infected
162,F1,Infected
163,F2,Infected
164,F2,Infected
165,F2,Infected
166,F2,Infected
167,F2,Infected
168,F2,Healthy
169,F2,Infected
170,F2,Healthy
171,F2,Healthy
172,F2,Healthy
173,F2,Infected
174,F2,Healthy
175,F2,Infected
176,F2,Healthy
177,F2,Infected
178,F2,Healthy
179,F2,Infected
180,F2,Healthy
181,F2,Healthy
182,F2,Healthy
183,F2,Infected
184,F2,Infected
185,F2,Infected
186,F2,Healthy
187,F2,Infected
188,F2,Infected
189,F2,Infected
190,F2,Infected
191,F2,Healthy
192,F2,Healthy
193,F2,Healthy
194,F2,Infected
195,F2,Healthy
196,F2,Infected
197,F2,Healthy
198,F2,Infected
199,F2,Infected
200,F2,Infected
201,F2,Healthy
202,F2,Healthy
203,F2,Infected
204,F2,Healthy
205,F2,Healthy
206,F2,Infected
207,F2,Healthy
208,F2,Healthy
209,F2,Infected
210,F2,Infected
211,F2,Infected
212,F2,Healthy
213,F2,Infected
214,F2,Infected
215,F2,Infected
216,F2,Healthy
217,F2,Infected
218,F2,Healthy
219,F2,Infected
220,F2,Healthy
221,F2,Healthy
222,F2,Healthy
223,F2,Infected
224,F2,Healthy
225,F2,Healthy
226,F2,Infected
227,F2,Healthy
228,F2,Infected
229,F2,Healthy
230,F2,Healthy
231,F2,Infected
232,F2,Infected
233,F2,Healthy
234,F2,Infected
235,F2,Infected
236,F2,Healthy
237,F2,Infected
238,F2,Healthy
239,F2,Infected
240,F2,Infected
241,F2,Infected
242,F2,Healthy
243,F2,Infected
244,F2,Infected
245,F2,Healthy
246,F2,Infected
247,F2,Infected
248,F2,Healthy
249,F2,Healthy
250,F2,Healthy
251,F2,Healthy
252,F3,Healthy
253,F3,Healthy
254,F3,Infected
255,F3,Healthy
256,F3,Healthy
257,F3,Healthy
258,F3,Infected
259,F3,Healthy
260,F3,Infected
261,F3,Infected
262,F3,Infected
263,F3,Healthy
264,F3,Infected
265,F3,Healthy
266,F3,Infected
267,F3,Infected
268,F3,Healthy
269,F3,Healthy
270,F3,Healthy
271,F3,Healthy
272,F3,Infected
273,F3,Healthy
274,F3,Healthy
275,F3,Healthy
276,F3,Healthy
277,F3,Healthy
278,F3,Infected
279,F3,Infected
280,F3,Healthy
281,F3,Healthy
282,F3,Healthy
283,F3,Infected
284,F3,Infected
285,F3,Healthy
286,F3,Healthy
287,F3,Infected
288,F3,Infected
289,F3,Infected
290,F3,Infected
291,F3,Infected
292,F3,Healthy
293,F3,Healthy
294,F3,Infected
295,F3,Healthy
296,F3,Infected
297,F3,Infected
298,F3,Infected
299,F3,Healthy
300,F3,Healthy
301,F3,Healthy
302,F3,Infected
303,F3,Infected
304,F3,Healthy
305,F3,Healthy
306,F3,Healthy
307,F3,Infected
308,F3,Infected
309,F3,Infected
310,F3,Healthy
311,F3,Healthy
312,F3,Healthy
313,F3,Infected
314,F3,Infected
315,F3,Infected
316,F3,Healthy
317,F3,Infected
318,F3,Healthy
319,F3,Infected
320,F3,Infected
321,F3,Healthy
322,F3,Healthy
323,F3,Infected
324,F3,Healthy
325,F3,Infected
326,F3,Infected
327,F3,Healthy
328,F3,Healthy
329,F3,Infected
330,F3,Infected
331,F3,Healthy
332,F3,Healthy
333,F3,Infected
334,F3,Healthy
